best_model,compile_note,compiled_us,dtype,eager_us,flash_us,graphsynth_us,gs_vs_compiled,gs_vs_eager,gs_vs_flash,inductor_x,op,shape
2.5-pro,,1994.0,bf16,8537.3,456.8,1073.5,1.86,7.95,2.35,4.28,sigmoid_attn,2x32x2048x128
2.5-pro,,1997.7,bf16,8536.5,456.8,472.5,4.23,18.07,1.03,4.27,relu_attn,2x32x2048x128
2.5-pro,,2643.3,bf16,9522.3,456.8,1874.7,1.41,5.08,4.1,3.6,temp_perhead,2x32x2048x128
3.1-pro,,2628.9,bf16,11079.5,456.8,845.0,3.11,13.11,1.85,4.21,bias_alibi,2x32x2048x128
3.1-pro,,2593.5,bf16,8440.7,456.8,1817.4,1.43,4.64,3.98,3.25,bias_dilated,2x32x2048x128
3.1-pro,,2646.4,bf16,8390.0,456.8,662.0,4.0,12.67,1.45,3.17,bias_local,2x32x2048x128
3.1-pro,,2585.8,bf16,8251.5,456.8,289.6,8.93,28.49,0.63,3.19,bias_block_diagonal,2x32x2048x128
3.1-pro,,2585.0,bf16,8335.8,456.8,1389.7,1.86,6.0,3.04,3.22,bias_prefix_lm,2x32x2048x128
3.1-pro,,3139.1,bf16,10645.0,456.8,900.9,3.48,11.82,1.97,3.39,softcap_gemma2,2x32x2048x128
3.1-pro,,2589.2,bf16,8332.9,456.8,432.8,5.98,19.26,0.95,3.22,bias_sliding_window,2x32x2048x128
