S,compiled_us,eager_us,graphsynth_us,gs_vs_compiled,gs_vs_eager,op,relerr,status
1024,1332.2,2033.6,312.5,4.26,6.51,sigmoid_attn,6.4e-03,generalises
1024,1299.1,2032.4,151.0,8.6,13.46,relu_attn,4.7e-03,generalises
1024,884.5,2450.3,530.2,1.67,4.62,temp_perhead,8.2e-03,generalises
1024,895.7,2758.4,227.5,3.94,12.12,bias_alibi,5.6e-03,generalises
1024,869.7,2179.1,497.9,1.75,4.38,bias_dilated,7.1e-03,generalises
1024,911.7,2177.4,331.6,2.75,6.57,bias_local,1.3e-02,AssertionError
1024,875.7,2153.0,154.6,5.66,13.93,bias_block_diagonal,5.9e-03,AssertionError
1024,870.6,2157.5,663.8,1.31,3.25,bias_prefix_lm,1.2e-02,generalises
1024,954.1,2738.2,262.9,3.63,10.41,softcap_gemma2,6.1e-03,generalises
1024,852.7,2166.2,222.4,3.83,9.74,bias_sliding_window,6.1e-03,AssertionError
2048,5172.4,8534.6,1074.1,4.82,7.95,sigmoid_attn,4.5e-03,generalises
2048,5042.3,8534.5,472.5,10.67,18.06,relu_attn,6.0e-03,generalises
2048,3012.1,9520.9,1867.4,1.61,5.1,temp_perhead,7.7e-03,generalises
2048,3067.5,11076.4,843.1,3.64,13.14,bias_alibi,6.0e-03,generalises
2048,2990.9,8440.5,1818.2,1.64,4.64,bias_dilated,6.7e-03,generalises
2048,3176.9,8389.1,663.0,4.79,12.65,bias_local,1.9e-02,generalises
2048,3087.9,8253.0,289.8,10.66,28.48,bias_block_diagonal,5.7e-03,generalises
2048,3019.4,8335.4,1389.6,2.17,6.0,bias_prefix_lm,1.6e-02,generalises
2048,3368.4,10642.7,900.9,3.74,11.81,softcap_gemma2,4.6e-03,generalises
2048,2975.2,8328.2,432.9,6.87,19.24,bias_sliding_window,3.8e-03,generalises
4096,20347.6,33707.4,4343.5,4.68,7.76,sigmoid_attn,6.1e-03,generalises
4096,19847.2,33709.6,1662.1,11.94,20.28,relu_attn,4.3e-03,generalises
4096,10917.7,38326.7,6892.3,1.58,5.56,temp_perhead,9.7e-03,generalises
4096,11159.0,45659.0,3222.8,3.46,14.17,bias_alibi,5.6e-03,generalises
4096,10926.6,35065.6,7136.2,1.53,4.91,bias_dilated,4.7e-03,generalises
4096,11696.1,34427.3,1325.1,8.83,25.98,bias_local,1.2e-02,AssertionError
4096,11444.1,34158.1,561.0,20.4,60.89,bias_block_diagonal,5.5e-03,AssertionError
4096,11064.8,33558.4,9608.3,1.15,3.49,bias_prefix_lm,1.2e-02,generalises
4096,12504.0,42782.7,3329.6,3.76,12.85,softcap_gemma2,5.4e-03,generalises
4096,10968.1,34448.4,857.0,12.8,40.19,bias_sliding_window,5.4e-03,AssertionError
