S,compiled_us,eager_us,kernel_us,model,op,relerr,status,synthesized_at_S,vs_compiled,vs_eager
1024,559.7,2757.2,510.1,2.5-pro,bias_alibi,5.5e-03,OK,2048,1.1,5.41
1024,559.7,2757.2,226.9,3.1-pro,bias_alibi,5.5e-03,OK,2048,2.47,12.15
1024,560.5,2153.1,,2.5-pro,bias_block_diagonal,,AssertionError,2048,,
1024,560.5,2153.1,154.6,3.1-pro,bias_block_diagonal,5.1e-03,OK,2048,3.63,13.93
1024,559.8,2172.6,497.5,3.1-pro,bias_dilated,4.4e-03,OK,2048,1.13,4.37
1024,557.0,2171.3,,2.5-pro,bias_local,,AssertionError,2048,,
1024,557.0,2171.3,330.6,3.1-pro,bias_local,1.7e-02,OK,2048,1.68,6.57
1024,555.3,2157.4,663.1,2.5-pro,bias_prefix_lm,1.5e-02,OK,2048,0.84,3.25
1024,555.3,2157.4,733.7,3.1-pro,bias_prefix_lm,1.5e-02,OK,2048,0.76,2.94
1024,562.5,2167.0,,2.5-pro,bias_sliding_window,,AssertionError,2048,,
1024,562.5,2167.0,221.3,3.1-pro,bias_sliding_window,6.1e-03,OK,2048,2.54,9.79
1024,544.2,2032.9,150.4,2.5-pro,relu_attn,4.1e-03,OK,2048,3.62,13.52
1024,544.2,2032.9,10374.3,3.1-pro,relu_attn,4.1e-03,OK,2048,0.05,0.2
1024,544.5,2034.2,,2.5-pro,sigmoid_attn,,AssertionError,2048,,
1024,544.5,2034.2,312.5,3.1-pro,sigmoid_attn,6.3e-03,OK,2048,1.74,6.51
1024,577.5,2737.5,496.8,2.5-pro,softcap_gemma2,6.1e-03,OK,2048,1.16,5.51
1024,577.5,2737.5,262.7,3.1-pro,softcap_gemma2,6.1e-03,OK,2048,2.2,10.42
1024,558.2,2450.6,529.9,2.5-pro,temp_perhead,1.2e-02,OK,2048,1.05,4.62
1024,558.2,2450.6,733.9,3.1-pro,temp_perhead,1.2e-02,OK,2048,0.76,3.34
2048,3071.1,11078.7,1657.7,2.5-pro,bias_alibi,5.8e-03,OK,2048,1.85,6.68
2048,3071.1,11078.7,844.6,3.1-pro,bias_alibi,5.8e-03,OK,2048,3.64,13.12
2048,3086.4,8254.0,1197.4,2.5-pro,bias_block_diagonal,5.7e-03,OK,2048,2.58,6.89
2048,3086.4,8254.0,289.2,3.1-pro,bias_block_diagonal,5.7e-03,OK,2048,10.67,28.54
2048,2992.0,8443.3,1817.6,3.1-pro,bias_dilated,5.2e-03,OK,2048,1.65,4.65
