compile_note,compile_time_s,compiled_us,eager_us,flash_us,graphsynth_us,gs_vs_compiled,gs_vs_eager,inductor_speedup,op
,3.3,1997.2,8560.7,550.7,1077.0,1.85,7.95,4.29,sigmoid_attn
,0.9,2000.1,8562.8,550.7,473.4,4.22,18.09,4.28,relu_attn
,1.1,2658.1,9608.2,550.7,2358.9,1.13,4.07,3.61,temp_perhead
,0.9,2636.2,11151.4,550.7,843.0,3.13,13.23,4.23,bias_alibi
,0.9,2605.0,8500.1,550.7,1819.1,1.43,4.67,3.26,bias_dilated
,0.8,2675.1,8439.3,550.7,662.7,4.04,12.73,3.15,bias_local
,0.9,2600.4,8313.4,550.7,290.6,8.95,28.61,3.2,bias_block_diagonal
,0.8,2605.2,8390.0,550.7,1393.1,1.87,6.02,3.22,bias_prefix_lm
,0.8,3148.7,10697.8,550.7,904.4,3.48,11.83,3.4,softcap_gemma2
,0.8,2607.1,8385.1,550.7,433.4,6.02,19.35,3.22,bias_sliding_window
